logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
1400904,https://www.logainm.ie/1400904.aspx,Fearann na Mainistreach,Abbeylands,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2658968429421,-7.09331398777347,True,waterford_city_hierarchy_review
1400936,https://www.logainm.ie/1400936.aspx,Cúirt an Choill,Hazel Court,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2671932695974,-7.092408469955439,True,waterford_city_hierarchy_review
1400937,https://www.logainm.ie/1400937.aspx,Céide na Sailí,Willow Drive,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.26724696903909,-7.0923780709819795,True,waterford_city_hierarchy_review
1400938,https://www.logainm.ie/1400938.aspx,Clós na Beithe,Birch Close,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2677244038467,-7.091342726744501,True,waterford_city_hierarchy_review
1400942,https://www.logainm.ie/1400942.aspx,Bán Ard,Ban Ard,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2632842423003,-7.09842148707348,True,waterford_city_hierarchy_review
1400943,https://www.logainm.ie/1400943.aspx,An Grianán,An Grianan,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.263605472106995,-7.0969353236263695,True,waterford_city_hierarchy_review
1400944,https://www.logainm.ie/1400944.aspx,Tuar na Blátha,Tuar na Blatha,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2643481983176,-7.094151340867201,True,waterford_city_hierarchy_review
1400961,https://www.logainm.ie/1400961.aspx,Ascaill Brockton,Brockton Avenue,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.27201722375641,-7.109717411769731,True,waterford_city_hierarchy_review
1400962,https://www.logainm.ie/1400962.aspx,Cúirt Brockton,Brockton Court,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2722521131376,-7.109873886709191,True,waterford_city_hierarchy_review
1400963,https://www.logainm.ie/1400963.aspx,Garrán Brockton,Brockton Grove,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2718836891844,-7.11108278785252,True,waterford_city_hierarchy_review
1400969,https://www.logainm.ie/1400969.aspx,Céide Brockton,Brockton Drive,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2718560649556,-7.110995424337019,True,waterford_city_hierarchy_review
1400970,https://www.logainm.ie/1400970.aspx,Céide na Saor,Masons Drive,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2720223605343,-7.111592859749889,True,waterford_city_hierarchy_review
1400971,https://www.logainm.ie/1400971.aspx,Ascaill na Saor,Masons Avenue,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2720321195775,-7.11169523384387,True,waterford_city_hierarchy_review
1400972,https://www.logainm.ie/1400972.aspx,Bóthar Arlington,Arlington Road,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2725986615531,-7.111727866950739,True,waterford_city_hierarchy_review
1400973,https://www.logainm.ie/1400973.aspx,Garrán Arlington,Arlington Grove,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2733010632576,-7.11070275726555,True,waterford_city_hierarchy_review
1400974,https://www.logainm.ie/1400974.aspx,Clós Arlington,Arlington Close,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2727233263824,-7.1103773014234894,True,waterford_city_hierarchy_review
1400975,https://www.logainm.ie/1400975.aspx,Fiodh Mór,Fiodh Mór,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2635981806737,-7.088965881733949,True,waterford_city_hierarchy_review
1400988,https://www.logainm.ie/1400988.aspx,Cnocán an Earbair,Arbourmount,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2712573308358,-7.107886422084789,True,waterford_city_hierarchy_review
1401061,https://www.logainm.ie/1401061.aspx,An Garrán,The Grove,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.26854875679871,-7.102754127531891,True,waterford_city_hierarchy_review
1403509,https://www.logainm.ie/1403509.aspx,Clann Mhaoilíora,Clanmalire,bilingual,D,locality,Kildare | Laois | Offaly,Kildare | Laois | Offaly,CON:Laois | CON:Offaly | BAR:Portnahinch | BAR:Philipstown Upper | CON:Kildare,0,0,False,plausible_cross_boundary_feature
1404217,https://www.logainm.ie/1404217.aspx,Eastát Gharrán na Giúise,Pine Grove Estate,bilingual,SR,street,Mayo | Sligo,Mayo | Sligo,CON:Mayo | BAR:Costello | CON:Sligo | PAR:Kilbeagh | CBA:Sligo–Drumcliff | B:Charlestown | TR:Lissadill North,53.9619230568465,-8.791656644977802,True,street_hierarchy_conflict_review
